업종명,인허가일자,업소명,도로명주소,영업장면적,영업자시작일,업태명
일반음식점,1996-11-13,조개랑 곱창,서울특별시 성동구 마장로 285 (마장동),44.82,2007-05-22,한식
일반음식점,1996-04-08,미성 숯불갈비,서울특별시 성동구 고산자로 346 (마장동),73.5,2002-09-25,한식
일반음식점,1996-08-29,애솔촌 고기마을,서울특별시 성동구 용답19길 9 (용답동),78.52,2000-12-05,한식
일반음식점,1996-08-06,오래식당,,33.22,2005-01-26,한식
일반음식점,1996-02-14,금호식당,서울특별시 성동구 금호산2길 22-6 (금호동3가),12.92,1996-08-14,한식
일반음식점,1996-07-25,조은세상,"서울특별시 성동구 고산자로 337-1, 1층 (마장동)",56,2007-02-22,한식
일반음식점,1996-05-21,또와,"서울특별시 성동구 성수일로12길 20, 성동안심상가 1층 101호 (성수동2가)",72.97,2010-12-21,한식
일반음식점,1996-06-21,홍가네해장국,서울특별시 성동구 독서당로 297-8 (금호동3가),28,1996-06-21,한식
일반음식점,1996-05-30,찐짜식당,서울특별시 성동구 성수이로7길 34 (성수동2가),28.08,1999-04-27,한식
일반음식점,1997-12-20,J's plate(제이스플레이트),서울특별시 성동구 왕십리로 219-1 (행당동),35.27,2010-03-05,경양식
일반음식점,1997-08-02,굿뉴스,서울특별시 성동구 연무장18길 16-1 (성수동2가),19.61,2011-08-17,호프/통닭
일반음식점,1997-04-11,빅토리식당,"서울특별시 성동구 마장로29길 46-1, 지상1층 (마장동, 478-1 )",60,1997-04-11,분식
일반음식점,1997-12-12,전남해물탕,,53.78,1997-12-12,한식
일반음식점,1997-10-17,장어구이,"서울특별시 성동구 마조로 17 (행당동,(지상1층))",27.8,1997-10-17,한식
일반음식점,1997-10-17,진선미식당,서울특별시 성동구 왕십리로24길 12 (도선동),29.82,1997-10-17,한식
일반음식점,1997-09-25,장터,"서울특별시 성동구 연무장길 118, 1층 1, 2, 3, 4호 (성수동2가)",153.1,1997-09-25,한식
일반음식점,1997-08-08,완산골명가,"서울특별시 성동구 광나루로 290 (성수동2가,(지상1층))",47.94,2008-02-12,분식
일반음식점,1997-05-29,고모네집,서울특별시 성동구 독서당로46길 36-1 (금호동4가),59.68,2004-07-07,한식
일반음식점,1997-05-12,고향냉면,서울특별시 성동구 독서당로 301-93 (금호동3가),21.4,1997-05-12,냉면집
일반음식점,1997-04-11,해물명가,서울특별시 성동구 금호로11길 4 (금호동2가),120.28,2009-09-01,한식
일반음식점,1997-04-17,고향식당,"서울특별시 성동구 사근동길 63, 1층 (사근동)",27,1998-09-01,한식
일반음식점,1997-04-21,원조칼국수,서울특별시 성동구 금호산2길 20-1 (금호동3가),35,2003-10-30,한식
일반음식점,1998-11-05,비비큐치킨,"서울특별시 성동구 무학봉길 53-1, 1층 (하왕십리동)",35.3,2002-05-22,통닭(치킨)
일반음식점,1998-08-22,김밥타운,서울특별시 성동구 성덕정길 96 (성수동2가),61.32,2008-02-11,분식
일반음식점,1998-06-19,양지생고기,서울특별시 성동구 한림말5길 11 (옥수동),62,1999-09-18,한식
일반음식점,1998-05-02,동순루,,30.74,1999-04-15,중국식
일반음식점,1998-04-04,일미돼지국밥,"서울특별시 성동구 성수일로12길 27 (성수동2가,(1층))",41,2009-04-15,한식
일반음식점,1998-04-24,또래분식,서울특별시 성동구 자동차시장1길 30 (용답동),24.82,1998-09-22,분식
일반음식점,1998-12-02,돼지꿈,서울특별시 성동구 마조로 17 (행당동),18,2002-03-08,한식
일반음식점,1998-11-13,참치마루,서울특별시 성동구 용답중앙13길 18 (용답동),28.78,2000-10-20,일식
일반음식점,1998-11-13,정원식당,서울특별시 성동구 마장로 220-5 (홍익동),58.92,2000-05-03,한식
